date	commit	iterations	scope	supported_delta	tests_passed	todo_delta	remaining_gap
2026-04-09	3be5495	1	GEMM edge cases	Empty TinyTPU GEMM shape tests	not recorded	not tracked before results.tsv	Zero-sized GEMM diagnostics
2026-04-09	e99a9fd	1	GEMM diagnostics	Zero-sized TinyTPU GEMM error tests	not recorded	not tracked before results.tsv	Batched random GEMM
2026-04-09	4d2ecdd	1	GEMM coverage	Batched random TinyTPU GEMM tests	not recorded	not tracked before results.tsv	Tiling notes
2026-04-09	5a1e696	1	Tiling diagnostics	TinyTPU tiling notes locked	not recorded	not tracked before results.tsv	UOp diagnostics
2026-04-09	0c86375	1	UOp diagnostics	TinyTPU UOp diagnostics tests	not recorded	not tracked before results.tsv	Profiler validation
2026-04-09	f71b3c0	1	Profiler validation	Invalid bundle integer diagnostics	not recorded	not tracked before results.tsv	Output flag validation
2026-04-09	0f71f54	1	Profiler validation	Bundle output flag validation	not recorded	not tracked before results.tsv	Simulator output parsing
2026-04-09	e6b5adb	1	Simulator parsing	Indented TinyTPU sim output	not recorded	not tracked before results.tsv	Malformed sim output
2026-04-09	79c228c	1	Simulator parsing	Malformed TinyTPU sim output diagnostics	not recorded	not tracked before results.tsv	MXU result width
2026-04-09	201dd65	1	Simulator parsing	TinyTPU MXU result width validation	not recorded	not tracked before results.tsv	Simulator failure lines
2026-04-09	3163c27	1	Simulator status	Simulator failure line rejection	not recorded	not tracked before results.tsv	Simulator ok status
2026-04-09	5adfdd1	1	Simulator status	Simulator status ok requirement	not recorded	not tracked before results.tsv	Trace parser validation
2026-04-09	fdda68b	1	Trace parser validation	Malformed trace line rejection	not recorded	not tracked before results.tsv	Trace field validation
2026-04-09	06dfb26	1	Trace parser validation	Malformed trace field rejection	not recorded	not tracked before results.tsv	Empty trace field validation
2026-04-09	7a8e0c8	1	Trace parser validation	Empty trace field rejection	not recorded	not tracked before results.tsv	VPU add lowering
2026-04-09	4311142	1	VPU add lowering	tinygrad int add runs on TinyTPU VPU	not recorded	not tracked before results.tsv	VPU binary coverage
2026-04-09	246163c	1	VPU binary coverage	TinyTPU VPU binary op tests	not recorded	not tracked before results.tsv	ReLU lowering
2026-04-09	302b005	1	ReLU lowering	TinyTPU ReLU lowering tests	not recorded	not tracked before results.tsv	Sum lowering
2026-04-09	24a4d34	1	Sum lowering	TinyTPU four-element sum lowering tests	not recorded	not tracked before results.tsv	Full-tile add
2026-04-09	906f337	1	Full-tile ADD	TinyTPU full-tile ADD tests	not recorded	not tracked before results.tsv	Full-tile mul
2026-04-09	1ce885f	1	Full-tile MUL	TinyTPU full-tile MUL tests	not recorded	not tracked before results.tsv	Full-tile max
2026-04-09	2ab8a37	1	Full-tile MAX	TinyTPU full-tile MAX tests	not recorded	not tracked before results.tsv	Full-tile relu
2026-04-09	335e38c	1	Full-tile RELU	TinyTPU full-tile RELU tests	not recorded	not tracked before results.tsv	Signed VPU ops
2026-04-09	10ead63	1	Signed VPU ops	Signed TinyTPU VPU op coverage	not recorded	not tracked before results.tsv	VMEM result parsing
2026-04-09	d41253c	1	VMEM parsing	TinyTPU VMEM result parsing	not recorded	not tracked before results.tsv	VMEM width validation
2026-04-09	3e7354d	1	VMEM parsing	TinyTPU VMEM result width validation	not recorded	not tracked before results.tsv	Malformed VMEM output
2026-04-09	04ee5ed	1	VMEM parsing	Malformed VMEM output diagnostics	not recorded	not tracked before results.tsv	Tinyspec tracking
2026-04-09	961a02d	1	Tinyspec tracking	TODO and tinyspec source saved	not recorded	TODO introduced with tinyspec estimate	VPU-only runtime completion
2026-04-10	b70bf44	1	VPU-only runtime	VPU-only bundles complete without dummy MXU dispatch	not recorded	TODO marked VPU-only runtime progress	Scalar constants
2026-04-10	697817e	1	Scalar ADD constant	TinyTPU scalar add constants covered	not recorded	TODO marked x + scalar	Scalar MUL constant
2026-04-10	0e24b7f	1	Scalar MUL constant	TinyTPU scalar mul constants covered	not recorded	TODO marked x * scalar	Scalar MAX constant
2026-04-10	f5b7622	1	Scalar MAX constant	TinyTPU scalar max constants covered	not recorded	TODO marked maximum x scalar	Less-than compare
2026-04-10	aaecd9a	1	VPU CMPLT	VPU less-than compare hardware backend and tests	not recorded	TODO marked CMPLT	Not-equal compare
2026-04-10	fd72f7d	1	VPU CMPNE	VPU not-equal compare hardware backend and tests	not recorded	TODO marked CMPNE	Subtract
2026-04-10	139ea5e	1	VPU SUB	VPU subtract hardware backend and tests	not recorded	TODO marked SUB	NEG coverage
2026-04-10	1c69ee3	1	NEG coverage	TinyTPU neg lowering through multiply by -1	not recorded	TODO marked NEG	Scalar comparisons
2026-04-10	91bfd49	1	Scalar comparisons	TinyTPU scalar comparison constants covered	not recorded	TODO marked scalar comparison constants	VMEM bundle records
2026-04-10	5969391	1	VMEM bundle records	Profiler roundtrip for VMEM input output records	not recorded	TODO marked bundle record roundtrip	Fork submodule URL
2026-04-10	65ba605	1	Submodule URL	tinygrad submodule points to fork	not recorded	not tracked before results.tsv	Next 50 batch
2026-04-10	3289dc8	50	TinyTPU tinyspec expansion	VPU CMPEQ; reverse scalar sub; grouped scalar constants; lowering dumps; VMEM protocol tests; profiler bundle tooling	make test-vpu: 9 passed, 0 failed; pytest TinyTPU/profiler/run tests: 84 passed	Next 50 iteration plan completed; recommended next work refreshed	Multi-tile elementwise ADD and multiple VMEM output tiles
2026-04-10	2d75e93	1	Multi-tile VPU elementwise	numel>16 VPU binary/unary via chunked tile loop	pytest tiling/parsing: 13 passed; profiler: 17 passed	Marked multi-tile elementwise loops done	Multi-tile test coverage for MUL/SUB/MAX/compare
2026-04-10	8beeabc	1	Multi-tile binary coverage	Multi-tile MUL SUB MAX CMPLT CMPNE CMPEQ tests	pytest backend: 58 passed (sim-backed)	none	Multi-tile scalar const and ReLU coverage
2026-04-10	8daa17e	1	Multi-tile scalar const coverage	Scalar ADD/SUB 17-elem; scalar CMPLT/CMPEQ 32-elem	pytest backend: 62 passed (sim-backed)	none	Multi-tile ReLU coverage
2026-04-10	fbaf5a6	1	Multi-tile ReLU coverage	32-elem and 33-elem (tail) multi-tile ReLU	pytest backend: 64 passed (sim-backed)	none	Multi-tile reverse sub const
2026-04-10	717dba9	1	Multi-tile reverse sub const	Reverse sub const at 17-elem and 32-elem	pytest backend: 66 passed (sim-backed)	none	WHERE op
2026-04-10	016ae86	1	WHERE op	WHERE via multi-instruction VPU bundle (MUL+SUB+MUL+ADD)	pytest backend: 66 passed (sim-backed)	Marked WHERE done	WHERE full-tile and multi-tile coverage
2026-04-10	fd79399	1	WHERE coverage	WHERE full-tile 16-elem and multi-tile 32-elem	pytest backend: 68 passed (sim-backed)	none	AND and OR ops
2026-04-10	6e2fd5e	1	AND and OR ops	AND via MUL, OR via MAX with bool_out flag	pytest backend: 70 passed (sim-backed)	Marked AND OR done	XOR op
2026-04-10	80b1a2f	1	XOR op	XOR via CMPNE with bool_out flag	pytest backend: 71 passed (sim-backed)	Marked XOR done	Multi-tile sum reduction
2026-04-10	ac5451d	1	Multi-tile sum reduction	N-element sum via chunked VPU_SUM_REDUCE + host accumulate	pytest backend: 73 passed (sim-backed)	Marked full-tile and multi-tile sum done	Update recommended next iterations
2026-04-10	2a3c17f	1	Multi-tile AND	Fix grouped binary analyzer for bool logic ops; 32-elem AND	pytest backend: 74 passed (sim-backed)	none	Multi-tile OR/XOR
2026-04-10	34e6f21	1	Multi-tile OR	32-elem OR via multi-tile VPU MAX	pytest backend: 75 passed (sim-backed)	none	Multi-tile XOR
2026-04-10	d7c86e2	1	Multi-tile XOR	32-elem XOR via multi-tile VPU CMPNE	pytest backend: 76 passed (sim-backed)	none	NOT lowering
2026-04-10	9201c54	1	NOT lowering	NOT via CMPNE with bool input detection	pytest backend: 77 passed (sim-backed)	none	Multi-tile NOT
2026-04-10	5c5a0f3	1	Multi-tile NOT	32-elem NOT via multi-tile CMPNE	pytest backend: 78 passed (sim-backed)	none	VPU MAX_REDUCE hardware
2026-04-10	9b87aa1	1	VPU MAX_REDUCE hardware	lane_max reducer and VPU_MAX_REDUCE opcode	make test-vpu: 10 passed; pytest backend: 78 passed	none	MAX reduction lowering
2026-04-10	b449fa9	1	MAX reduction 4-elem	MAX reduction through VPU_MAX_REDUCE	pytest backend: 79 passed (sim-backed)	Marked MAX reduction done	Full-tile MAX reduction
2026-04-10	7ee2bef	1	MAX reduction full-tile	16-elem MAX reduction	pytest backend: 80 passed (sim-backed)	none	Multi-tile MAX reduction
2026-04-10	26d8c06	1	MAX reduction multi-tile	32-elem MAX reduction via chunked VPU_MAX_REDUCE + host max	pytest backend: 81 passed (sim-backed)	Marked multi-tile MAX reduction done	MUL reduction or movement ops
2026-04-10	8f156fb	1	Analyzer fix: complex ops	Reject IDIV/ABS/MOD from RELU and scalar const paths	pytest backend: 81 passed (sim-backed)	none	MINIMUM misdetection
2026-04-10	776a68d	1	Analyzer fix: MINIMUM	Require bool inputs for AND/XOR/OR detection	pytest backend: 81 passed (sim-backed)	none	SHL/SHR hardware
2026-04-10	f8b1142	1	VPU SHL/SHR hardware	VPU_SHL and VPU_SHR opcodes with BSV tests	make test-vpu: 12 passed; pytest backend: 81 passed	none	SHL/SHR lowering
2026-04-10	3bc8fb3	1	SHL lowering	Scalar const SHL through VPU_SHL	pytest backend: 82 passed (sim-backed)	Marked SHL done	SHR lowering
2026-04-10	cfd333c	1	SHR lowering	Scalar const SHR through VPU_SHR	pytest backend: 83 passed (sim-backed)	Marked SHR done	Multi-tile SHL
2026-04-10	ea7a01a	1	Multi-tile SHL	32-elem SHL with scalar const disambiguation	pytest backend: 84 passed (sim-backed)	none	Multi-tile SHR
2026-04-10	fd0e668	1	Multi-tile SHR	32-elem SHR	pytest backend: 85 passed (sim-backed)	none	Full-tile SHL/SHR
2026-04-10	3ce7bc8	1	Full-tile SHL/SHR	16-elem SHL and SHR coverage	pytest backend: 87 passed (sim-backed)	none	Negative reduction coverage
2026-04-10	2b8b5ce	1	Negative reductions	Sum and max with negative int32 values	pytest backend: 89 passed (sim-backed)	none	Loop-based reductions or IDIV
2026-04-10	d7a6851	1	Analyzer fix: clip	Reject clip from RELU by checking WHERE <= STORE	pytest backend: 89 passed (sim-backed)	none	VPU_MIN hardware
2026-04-10	d2c170a	1	VPU_MIN hardware	VPU_MIN opcode with BSV test	make test-vpu: 13 passed; pytest backend: 89 passed	none	minimum lowering
2026-04-10	56e1f2d	1	minimum lowering	minimum(a,b) through VPU_MIN detecting XOR+MAX pattern	pytest backend: 90 passed (sim-backed)	none	Multi-tile minimum
2026-04-10	a1039d6	1	Multi-tile minimum	16-elem and 32-elem minimum coverage	pytest backend: 92 passed (sim-backed)	none	VPU_MIN_REDUCE
2026-04-10	46cd837	1	VPU_MIN_REDUCE hardware	lane_min reducer and VPU_MIN_REDUCE opcode	make test-vpu: 14 passed; pytest backend: 92 passed	none	MIN reduction lowering
2026-04-10	f27b9a5	1	MIN reduction	4/16/32-elem min through VPU_MIN_REDUCE; exclude XOR from MAX_REDUCE	pytest backend: 95 passed (sim-backed)	Marked MIN reduction done	File rename
2026-04-10	9ad63e8	1	Test file rename	test_tinytpu_backend_gemm -> test_tinytpu_backend	pytest backend: 95 passed (sim-backed)	none	Negative MIN
2026-04-10	941b248	1	Negative MIN reduction	min with all-negative int32 values	pytest backend: 96 passed (sim-backed)	none	Scalar MIN const
2026-04-10	d03f172	1	Scalar minimum const	minimum(x, c) via XOR+MAX decomposition detection	pytest backend: 97 passed (sim-backed)	none	Clip support
2026-04-10	a031e37	1	Clip diagnostic	clip correctly reports unsupported (was silently wrong)	pytest backend: 98 passed (sim-backed)	none	Fused clamp lowering or more reductions
2026-04-10	b7e5071	1	Analyzer fix: add+relu	Block grouped binary with CMPLT+WHERE (fused epilogue)	pytest backend: 98 passed (sim-backed)	none	Add+relu diagnostic test
2026-04-10	4cab815	1	Add+relu diagnostic	Fused add+relu correctly reports unsupported	pytest backend: 99 passed (sim-backed)	none	Multi-tile scalar const coverage
2026-04-10	b750920	1	Multi-tile min scalar const	32-elem minimum(x, 10)	pytest backend: 100 passed (sim-backed)	none	More multi-tile coverage
2026-04-10	bb9f4b9	1	Multi-tile max scalar const	32-elem maximum(x, 10)	pytest backend: 101 passed (sim-backed)	none	More multi-tile coverage
2026-04-10	f97cb31	1	Multi-tile CMPNE scalar const	32-elem x != 10	pytest backend: 102 passed (sim-backed)	none	WHERE tail coverage
2026-04-10	804c46b	1	WHERE tail coverage	17-elem WHERE with tail handling	pytest backend: 103 passed (sim-backed)	none	Signed minimum
2026-04-10	0c56fc3	1	Signed minimum	Minimum with negative values on both sides	pytest backend: 104 passed (sim-backed)	none	Negative min const
2026-04-10	f3b0c0b	1	Negative min const	minimum(x, -2)	pytest backend: 105 passed (sim-backed)	none	Diagnostic tests
2026-04-10	bb86956	1	Diagnostic tests	IDIV/MOD/ABS unsupported + minimum regression	pytest backend: 109 passed (sim-backed)	none	Fused clamp or CAST lowering
2026-04-11	e1796ef	1	tests: fix stale WAIT_MXU opcode	VPU-only bundles end with HALT not WAIT_MXU	pytest: 193 passed	none	IDIV/MOD/abs multi-tile coverage
2026-04-11	68f8ccb	1	full-tile and multi-tile abs tests	abs works for all numel via VPU_PROGRAM tile loop	pytest: 197 passed	none	IDIV/MOD multi-tile coverage
2026-04-11	8ecc187	1	full-tile and multi-tile IDIV/MOD tests	truncation semantics documented	pytest: 203 passed	none	scalar broadcast coverage
2026-04-11	a8ff56b	1	scalar broadcast and cast coverage	MUL/SUB/MAX size-1 broadcast; int32<->bool cast	pytest: 211 passed	none	clip/fused coverage
2026-04-11	7f4aeb1	1	clip and fused add+relu multi-tile	16-elem and 32-elem coverage	pytest: 215 passed	none	row-wise sum
2026-04-11	bf4ef32	1	row-wise sum via VPU_SUM_REDUCE	VPU_ROWSUM: nrows x 4 -> nrows sums	pytest: 219 passed	marked row-wise sum done	row-wise max/min
2026-04-11	27da240	1	row-wise max and min reductions	discriminate sum/max/min by UOp body; VPU_MAX/MIN_REDUCE	pytest: 223 passed	none	tensor-tensor IDIV/MOD; keepdim
2026-04-11	91b9178	1	tensor-tensor IDIV/MOD; rowsum keepdim; rowmax/min 3x4	all shape counts for row reductions	pytest: 229 passed	none	vpu_rowsum multi-tile rows
2026-04-11	40d41db	1	vpu_rowsum arbitrary nrows via 4-row tile chunking	5x4 and 8x4 sum/max/min	pytest: 233 passed	TODO updated	column-wise sum or movement ops
2026-04-11	f5652aa	50	TinyTPU 50-iteration batch	Grouped scalar-const 2D lowering; HOST_ROWREDUCE/COLREDUCE; row/col reductions for arbitrary shapes; _tasm helpers; TASM bundle roundtrips; 2D coverage for all ops	pytest: 399 passed (+166 from 233 baseline)	TODO updated; row/col reductions marked done; 2D ops marked done	GEMM epilogues; XLU-backed col reductions; fused kernel detection
2026-04-10	336dfb1	10	multi-WMMA + hardware epilogue	Multi-WMMA GEMM lowering; SXU_LOAD_MXU_RESULT BSV instruction; hardware-fused bias+ReLU epilogue via MXU→VPU pipeline	pytest: 340 passed	GEMM epilogues marked done; multi-WMMA marked done; SXU_LOAD_MXU_RESULT added	hardware epilogue for multi-K-tile; movement ops; col-wise VPU reductions
2026-04-11	96c1d95	1	VPU_NOT BSV opcode	VPU_NOT hardware instruction (opcode 26) with testbench	make test-vpu: 20/20; pytest: 340 passed	none	migrate scalar-const ops to SXU_PROGRAM
2026-04-11	1f341a7	1	scalar-const + bool SXU_PROGRAM migration	scalar-const binary ops and bool AND/OR/XOR/NOT via SXU_PROGRAM	pytest: 340 passed	scalar-const and bool marked done	migrate WHERE to SXU_PROGRAM
2026-04-11	f026837	1	WHERE SXU_PROGRAM migration	WHERE ternary select via 4-instruction MUL/SUB/MUL/ADD SXU_PROGRAM	pytest: 340 passed	WHERE marked done	migrate multi-step VPU_PROGRAM patterns
2026-04-11	faeb937	1	abs/clip/MOD/CMPEQ SXU_PROGRAM	abs clip MOD CMPEQ patterns via multi-step SXU_PROGRAM	pytest: 340 passed	multi-step patterns marked done	migrate reductions to SXU_PROGRAM
2026-04-11	96abba7	2	multi-step + data-path ALU fix	abs/clip/MOD/CMPEQ via SXU_PROGRAM; fix RANGE/GROUP ALU filtering	pytest: 340 passed; SXU_PROGRAM 97/263	multi-step marked done; reduction deferred	scalar broadcast in BSV
2026-04-11	09a5978	1	data-path ALU + SUB/CMPEQ/clip fixes	SUB tensor-tensor, CMPEQ RANGE, clip const detection via SXU_PROGRAM	pytest: 340 passed; SXU_PROGRAM 143/263 (54%)	none	MIN decomposition, scalar broadcast
2026-04-11	4195857	1	reverse SUB + ALU refactor	scalar-const reverse SUB, data-path ALU in multistep renderer	pytest: 340 passed; SXU_PROGRAM 146/263 (55%)	none	MIN decomposition, fused add+relu, scalar broadcast
2026-04-11	2ce9812	1	tensor-tensor MIN via SXU_PROGRAM	MIN XOR+MAX decomposition detected and emitted as VPU_MIN	pytest: 340 passed	none	scalar-const MIN, fused add+relu, scalar broadcast
2026-04-11	4c7b394	1	fused add+relu SXU_PROGRAM	fused add+relu via ADD+RELU SXU_PROGRAM	pytest: 340 passed; SXU_PROGRAM 157/263 (59%)	none	scalar broadcast, scalar-const MIN/MOD, reductions
2026-04-11	10faf9d	1	scalar broadcast + reductions SXU_PROGRAM	scalar broadcast, SUM/MAX/MIN scalar reduce via SXU_PROGRAM with cross-sublane accum	pytest: 340 passed; SXU_PROGRAM 180/263 (68%)	scalar broadcast + reductions marked done	row/col reduce axis detection, scalar-const DIV/MOD
2026-04-11	4d03968	2	VPU_SELECT/COPY + RELU/SUB fix	VPU_SELECT hardware opcode; WHERE 2-instr; RELU/SUB RANGE fix	VPU: 22/22; pytest: 340 passed; SXU_PROGRAM 191/263 (72%)	SELECT marked done in plan	host fallback renderers, dead code deletion
2026-04-11	057b143	3	legacy renderer + dead code deletion	_render_legacy_descriptor; delete _exec_vpu_where/unary, _build_vpu_where, dead analyze blocks	pytest: 340 passed; 2810 lines (-267)	legacy renderer decouples from analyze	delete more dead analyze code
2026-04-11	e7fd99d	4	dead code deletion batch	delete _render_wmma_descriptor, dead analyze blocks, _exec_vpu_where/unary, slim diag	pytest: 340 passed; 2670 lines	analyze slimmed 905→556; _render_wmma deleted	analyze still 556 lines for scalar-const DIV/MIN/MOD
2026-04-11	TBD	2	SXU_PROGRAM migration	row-broadcast binary and scalar-const minimum now lower through SXU_PROGRAM	pytest rowbc: 3 passed; pytest lowering_dump: 14 passed; pytest minimum const: 4 passed	marked row-broadcast migration done; analyze narrowed to scalar-const DIV/MOD	scalar-const DIV and MOD still use legacy renderer
2026-04-11	TBD	4	first-class select primitive	SXU_DISPATCH_SELECT end-to-end: BSV opcode, runtime/TASM support, tinygrad WHERE lowering	pytest where: 4 passed; test-sxu: 3 passed; test_tasm select: 2 passed	WHERE cleanup note now points at first-class SXU_DISPATCH_SELECT	next primitive slice is scalar/row/col broadcast ISA cleanup
2026-04-11	TBD	4	explicit broadcast primitives	SXU/XLU scalar,row,col broadcast opcodes plus row-bias lowering through BROADCAST_ROW	test-sxu: 6 passed; pytest rowbc: 3 passed; pytest rowbc lowering: 1 passed; test_tasm broadcast: 6 passed	marked explicit broadcasts and XLU-backed broadcast primitives done	next slice is col/tile reductions or scalar-broadcast lowering through new primitive
2026-04-11	TBD	2	scalar broadcast primitive lowering	scalar-broadcast SXU_PROGRAM now emits BROADCAST_SCALAR in tinygrad backend	pytest scalar broadcast: 7 passed	constants and scalar broadcasting marked done	next slice is col/tile reductions
2026-04-11	3fae151	1	col/tile reduce VPU primitives	VPU_{SUM,MAX,MIN}_REDUCE_{COL,TILE} opcodes 29-34 with BSV tests; Python opcode table; uses_scalar_broadcast drive-by init fix	make test-vpu: 28/28; pytest backend: 343 passed	marked col/tile reduce primitives done in plan	wire col/tile reduce through SXU dispatch and migrate HOST_COLREDUCE + scalar reductions to use new primitives
2026-04-11	6fbea28	1	col/tile reduce end-to-end wiring	TASM mnemonics for new opcodes; 6 TASM roundtrip tests; 2 runtime-sim bundle tests proving VPU_SUM_REDUCE_TILE/COL reachable end-to-end; fix stale test_vpu_ops_cover_full_range count	pytest tests/: 467 passed (2 pre-existing import failures unrelated)	none	migrate tinygrad HOST_COLREDUCE and scalar reductions to emit new primitives
2026-04-11	2091734	1	scalar SUM via VPU_SUM_REDUCE_TILE	scalar SUM reductions now emit opcode 32 and rely on zero-padding identity; output parser reads scalar from [0] via reduce_layout	pytest backend: 343 passed	none	migrate MAX/MIN scalar reductions with identity padding
2026-04-11	7f4920a	1	scalar MAX via VPU_MAX_REDUCE_TILE	VMEM pad_value for identity padding; scalar MAX emits opcode 33 with INT32_MIN pad	pytest backend: 343 passed	none	scalar MIN + col-reduce renderer
2026-04-11	f6920ec	1	scalar MIN via VPU_MIN_REDUCE_TILE	scalar MIN emits opcode 34 with INT32_MAX pad	pytest backend: 343 passed	none	col-reduce SUM via SXU_PROGRAM
2026-04-11	5699262	1	col-reduce SUM single-tile	N<=4 M=4 SUM lowers to VPU_SUM_REDUCE_COL; added 4x4 and 3x4 tests	pytest backend: 345 passed	none	col-reduce MAX/MIN with pad
2026-04-11	00d0b57	1	col-reduce MAX/MIN single-tile	MAX/MIN use INT32 identity pad; single-tile N<=4 M=4	pytest backend: 349 passed	none	narrow width M<4
2026-04-11	e56c194	1	col-reduce narrow M<4	MATRIX_TILE VMEM mode packs NxM slice into 4x4 with identity pad	pytest backend: 352 passed	none	multi row-tile
2026-04-11	5e5a8de	1	col-reduce multi row-tile (N>4)	split into ceil(N/4) row-tiles, combine via VPU_ADD/MAX/MIN	pytest backend: 352 passed	none	wide M>4
2026-04-11	1bda80d	1	col-reduce wide M>4	col-tile iteration emits multi-output tiles with offset=col_base	pytest backend: 352 passed	none	full N>4 M>4 test coverage
2026-04-11	0055ee6	1	col-reduce multi row x col tests	6x6 SUM, 5x7 MAX, 7x5 MIN exercising ceil(N/4) x ceil(M/4) path	pytest backend: 355 passed	marked column-wise and full-tile reductions done	dead code cleanup
2026-04-11	1c90bff	1	drop dead reduce_layout plumbing	row-layout branch and reduce_src_size fields removed; scalar reduction path always extracts [0]	pytest backend: 355 passed	none	migrate row reductions to SXU_PROGRAM
